AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,2329.6,2165.3,2057.6,2178.5,2458.7,2323.5,2164.5,2338.9
Cash_from_Operations,1760.2,5702.2,4767.0,4842.7,3569.1,2706.5,2464.1,3406.9
Diluted_EPS,2.631,0.376,3.014,0.701,-0.236,2.696,3.128,0.966
Goodwill_Intangibles,126.9,126.5,119.0,123.5,126.1,117.9,116.5,107.7
LT_Debt,37.9,177.7,257.5,52.4,224.6,59.1,179.5,172.9
Net_Income,9399.2,1342.2,10766.6,2502.8,-844.6,9632.3,11173.6,3451.6
Revenue,14623.0,21363.9,21161.0,15980.3,13883.3,13635.4,12111.8,11083.2
Shares_Diluted,3572.499,3572.534,3572.535,3572.535,3572.535,3572.535,3572.535,3572.535
Total_Assets,79909.3,71643.4,69846.8,57659.8,53333.6,55103.9,44962.9,31553.4
Total_Liabilities,9732.4,11136.1,9652.4,8524.4,6479.3,6382.8,5402.1,4266.6
