AAII_YR_DATA,01/01/2023,01/02/2022,01/03/2021,12/29/2019,12/30/2018
Capital_Expenditures,111.7,119.5,97.8,76.4,42.8
Cash_from_Operations,139.8,141.2,28.7,80.8,148.3
Diluted_EPS,-0.096,-0.166,-0.393,-0.229,-0.086
Goodwill_Intangibles,2054.0,2097.8,2084.6,2034.5,
LT_Debt,739.1,680.3,1130.4,1053.9,0.0
Net_Income,-16.0,-24.5,-64.3,-37.4,-14.1
Revenue,1529.9,1384.4,1122.0,959.4,795.9
Shares_Diluted,167.471,147.6545,163.5955,163.5955,163.5955
Total_Assets,3148.5,3145.3,3061.0,2874.6,
Total_Liabilities,1952.2,1913.7,2376.3,2139.8,
