AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,25.3,8.5,7.3,2.4,7.4,0.4
Cash_from_Operations,-2.5,40.1,36.8,12.0,11.8,8.0
Diluted_EPS,-0.735,-0.644,-0.166,-0.138,-0.01,0.029
Goodwill_Intangibles,2522.0,2173.2,1205.8,256.9,95.5,34.9
LT_Debt,1314.9,849.6,381.4,40.4,72.2,23.8
Net_Income,-41.8,-30.6,-15.7,-8.7,-0.6,1.7
Revenue,980.7,567.3,240.9,137.8,79.9,48.0
Shares_Diluted,56.8253,47.5879,94.7815,62.6207,59.5882,59.5882
Total_Assets,3462.2,2876.3,1529.9,398.8,139.8,45.0
Total_Liabilities,2854.1,2267.9,1162.1,325.5,164.2,62.9
