AAII_YR_DATA,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,9.6,18.3,8.6,9.3,3.6,7.1,9.5,0.0
Cash_from_Operations,12.9,24.6,17.8,25.2,15.5,11.4,14.4,-10.0
Diluted_EPS,-1.604,-0.413,-0.194,0.433,0.302,0.348,0.483,1.474
Goodwill_Intangibles,35.9,100.2,98.8,98.1,91.6,93.9,39.1,0.0
LT_Debt,90.1,85.6,87.8,86.8,91.4,96.3,16.4,0.0
Net_Income,-67.7,-16.0,-7.3,15.7,10.9,11.9,15.6,66.2
Revenue,389.1,355.0,369.8,326.7,268.4,209.9,149.6,0.0
Shares_Diluted,42.186,38.71,37.856,36.186,36.202,34.154,32.3993,44.8833
Total_Assets,190.2,231.2,231.5,239.1,215.3,202.3,97.3,28.1
Total_Liabilities,173.2,148.1,139.9,143.4,141.4,137.9,49.4,0.3
