AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,1225.9,518.0,977.3,736.4,245.6,178.9,281.9
Cash_from_Operations,131.8,167.1,196.1,100.1,169.5,159.3,198.7
Diluted_EPS,0.957,0.803,0.058,1.303,-1.408,0.322,-0.17
Goodwill_Intangibles,89.0,92.8,105.7,75.0,13.9,9.5,16.6
LT_Debt,2808.5,2792.7,2809.6,2340.0,2145.4,2088.7,2362.8
Net_Income,86.0,72.7,5.2,117.2,-125.8,28.6,-14.9
Revenue,350.9,365.7,459.0,613.4,594.9,636.8,667.0
Shares_Diluted,100.689,100.724,90.005,100.498,89.291,100.041,87.762
Total_Assets,5292.8,5060.6,4957.9,4296.8,4054.0,4192.2,4515.3
Total_Liabilities,3799.1,3574.0,3481.6,2769.6,2598.3,2567.5,2873.0
