AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,910.5,876.4,1328.5,1406.8,731.1,234.5,284.2,228.6
Cash_from_Operations,456.3,365.7,309.3,289.5,180.6,140.2,111.1,79.4
Diluted_EPS,0.348,0.362,0.001,-0.949,0.243,-0.302,-0.295,-1.249
Goodwill_Intangibles,612.9,651.2,702.4,658.1,605.3,623.7,345.1,362.1
LT_Debt,3438.1,2913.4,2781.4,2221.3,1386.6,1158.7,711.1,598.0
Net_Income,40.9,40.7,0.1,-84.4,19.2,-16.4,-8.6,-26.1
Revenue,1033.5,981.3,821.4,672.0,529.1,399.3,330.9,263.5
Shares_Diluted,117.6,112.5,100.4,88.9,79.0,54.3,29.2,20.9
Total_Assets,6897.4,6142.0,5592.5,4312.1,2852.4,2195.6,1571.0,1506.8
Total_Liabilities,4339.2,3707.4,3366.5,2598.2,1690.4,1374.0,1110.2,1184.8
