AAII_YR_DATA,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018
Capital_Expenditures,521.1,560.2,204.2,278.0,214.1,174.4
Cash_from_Operations,733.7,1127.0,869.8,930.1,546.0,1114.1
Diluted_EPS,1.243,1.055,0.661,0.598,0.702,0.735
Goodwill_Intangibles,119.8,109.6,82.2,77.8,82.7,169.8
LT_Debt,36.5,79.6,114.0,104.2,66.6,78.7
Net_Income,1621.7,1393.4,879.3,797.8,943.2,988.2
Revenue,5954.9,5251.8,3986.7,3797.7,4165.6,4267.3
Shares_Diluted,1304.144,1320.14,1329.6,1334.18,1344.38,1344.26
Total_Assets,13919.7,12779.0,11117.9,10039.7,10030.8,9695.7
Total_Liabilities,1657.2,1547.4,1178.1,1013.3,1077.9,1412.6
