AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,09/30/2019,12/31/2018,09/30/2018,12/31/2017,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,0.0,0.0,0.0,0.0,199.0,0.0,229.0,0.0,197.0,105.0,71.0,144.0,144.0
Cash_from_Operations,26.7,55.5,254.4,90.5,7620.0,10.1,-4522.0,10.8,402.0,1468.0,746.0,1025.0,739.0
Diluted_EPS,0.947,2.455,2.2,1.95,3.964,1.036,2.589,1.257,1.642,1.577,1.486,1.421,1.218
Goodwill_Intangibles,104.0,1.9,1.9,1.9,5431.0,1.9,5556.0,1.9,5683.0,3042.0,3128.0,4720.0,4149.0
LT_Debt,0.0,14.3,13.2,12.2,3594.0,0.0,2439.0,0.0,2555.0,1817.0,1800.0,1099.0,1052.0
Net_Income,,139.9,135.3,119.7,2208.0,59.7,1473.0,72.5,872.0,842.0,813.0,787.0,675.0
Revenue,,109.0,99.3,86.8,6016.0,59.6,5452.0,44.5,3676.0,3327.0,3247.0,3129.0,2771.0
Shares_Diluted,56.9985,61.4883,61.4029,57.6658,557.0,57.6658,569.0,,531.0,534.0,547.0,554.0,554.0
Total_Assets,1055.4,853.2,1343.2,1055.3,43786.0,906.9,37520.0,770.9,38627.0,28818.0,26375.0,23829.0,21836.0
Total_Liabilities,89.6,116.6,102.3,184.0,35086.0,568.5,29517.0,492.3,31380.0,23767.0,21472.0,19081.0,17160.0
