AAII_YR_DATA,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014
Capital_Expenditures,1.1,0.8,1.3,8.2,3.9,2.1,1.2,1.3,1.0
Cash_from_Operations,-11.0,24.8,8.3,-13.0,5.6,11.8,13.7,4.2,7.7
Diluted_EPS,2.883,2.065,-3.659,-0.862,2.256,2.081,1.173,0.57,4.883
Goodwill_Intangibles,12.6,14.9,16.2,23.0,14.8,13.7,28.5,18.7,43.4
LT_Debt,9.0,9.7,8.2,11.1,1.9,8.3,10.9,12.8,11.5
Net_Income,9.6,6.9,-12.1,-3.0,7.9,7.4,4.0,1.9,16.1
Revenue,445.5,387.6,393.9,379.4,322.4,310.1,309.2,297.7,302.7
Shares_Diluted,3.346,3.341,3.318,3.5049,3.5214,3.5401,3.3894,3.261,3.295
Total_Assets,206.4,187.7,184.9,205.0,141.1,140.2,141.5,143.2,145.8
Total_Liabilities,127.0,116.8,122.2,129.5,60.5,65.5,73.2,77.4,78.9
