AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
Capital_Expenditures,0.0,,,,,,,0.1,0.5,0.3,0.5,0.3,0.1
Cash_from_Operations,-0.7,0.0,0.0,,0.0,0.0,0.0,-1.0,-1.6,-3.7,-8.4,-5.0,-2.6
Diluted_EPS,-0.047,-0.004,-0.005,,,,-1.095,-1.095,-0.568,-1.553,-9.594,-5.855,-12.564
Goodwill_Intangibles,4.2,,,,,,,1.5,1.8,2.0,2.1,1.0,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.2,0.5,5.4,4.4,1.5,0.0
Net_Income,-2.9,-0.1,-0.1,,,,-15.0,-15.0,-7.1,-16.1,-20.0,-5.0,-5.5
Revenue,,0.0,,,,,0.9,0.9,0.0,30.4,21.8,18.3,9.3
Shares_Diluted,62.255,22.9454,22.9454,22.9454,22.9454,22.9454,22.9454,13.6533,12.5781,10.3607,2.0853,0.8622,0.441
Total_Assets,4.4,0.3,0.0,,0.0,0.0,0.0,20.9,10.5,15.4,13.0,9.4,0.0
Total_Liabilities,1.1,0.4,0.0,,0.0,0.0,51.4,36.7,13.4,14.6,12.8,9.3,0.0
