AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,3.1,0.4,0.1,0.3,0.7,0.4,0.1,0.1,0.1,0.1
Cash_from_Operations,1.3,0.0,1.1,-0.9,0.7,0.4,-0.4,0.4,1.1,1.0
Diluted_EPS,0.228,0.083,-0.223,-0.225,0.283,0.244,0.139,0.17,-0.299,0.0
Goodwill_Intangibles,5.4,4.7,4.7,5.7,4.8,4.8,4.9,4.1,4.2,4.3
LT_Debt,1.3,0.7,1.2,2.0,1.9,2.5,2.7,3.5,0.2,1.1
Net_Income,1.3,0.5,-1.0,-0.9,1.0,0.8,0.4,0.3,-0.4,0.0
Revenue,41.5,33.6,33.6,33.8,32.7,28.9,27.4,25.6,27.6,25.9
Shares_Diluted,5.589,5.424,4.298,4.053,3.5,3.171,2.593,1.97,1.449,1.172
Total_Assets,30.6,24.8,23.0,25.2,20.1,21.4,18.1,16.8,16.3,19.2
Total_Liabilities,14.0,10.4,11.2,12.6,8.6,11.2,9.6,10.3,11.0,15.5
