AAII_YR_DATA,03/31/2022,03/31/2021,12/31/2020,03/31/2020,12/31/2019,03/31/2019
Capital_Expenditures,1084.2,295.5,0.0,474.3,0.0,738.7
Cash_from_Operations,511.6,387.2,0.0,423.5,,362.1
Diluted_EPS,-0.525,-0.217,-0.285,-0.075,,0.073
Goodwill_Intangibles,479.5,439.5,0.0,434.2,0.0,
LT_Debt,4547.1,4066.6,0.0,3886.5,0.0,0.0
Net_Income,-194.0,-94.4,-11.0,-32.5,,31.9
Revenue,716.3,581.6,,584.3,0.0,520.7
Shares_Diluted,369.6503,435.6413,38.5668,435.6413,,435.6413
Total_Assets,7741.0,5939.1,349.6,5788.2,,
Total_Liabilities,6311.5,5189.8,45.8,4888.7,,
