AAII_YR_DATA,02/02/2020,02/03/2019,01/28/2018,01/29/2017,01/31/2016,02/01/2015,02/02/2014
Capital_Expenditures,106.0,115.0,94.0,81.0,86.0,119.0,131.0
Cash_from_Operations,677.0,584.0,502.0,513.0,422.0,295.0,-367.0
Diluted_EPS,2.707,2.166,5.009,0.97,7.312,0.015,-1.306
Goodwill_Intangibles,2166.0,2181.0,1898.0,1909.0,5992.0,6028.0,6950.0
LT_Debt,2035.0,2129.0,2176.0,3798.0,4302.0,5140.0,5534.0
Net_Income,452.0,394.0,970.0,188.0,1618.0,3.0,-218.0
Revenue,6146.0,6047.0,5121.0,4819.0,4615.0,6682.0,6387.0
Shares_Diluted,166.989,181.929,193.668,202.0,201.308,193.962,166.905
Total_Assets,4715.0,4233.0,4318.0,5707.0,6016.0,5977.0,6324.0
Total_Liabilities,3363.0,2952.0,2852.0,4747.0,5272.0,6737.0,7088.0
