AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.2,0.1,0.2,0.8,5.6,2.1
Cash_from_Operations,-12.3,-14.7,-15.9,-13.4,-10.0,-5.8
Diluted_EPS,-2.745,-7.15,2.001,-6.442,-5.314,-0.945
Goodwill_Intangibles,0.8,0.9,1.0,1.3,1.4,1.5
LT_Debt,0.5,0.0,2.1,6.4,0.1,0.0
Net_Income,-9.8,-25.0,6.3,-18.7,-14.8,-2.5
Revenue,1.3,1.5,0.9,0.5,0.4,0.0
Shares_Diluted,3.5695,3.5034,3.1534,2.9008,2.791,2.6963
Total_Assets,20.9,21.9,44.2,24.0,45.1,31.6
Total_Liabilities,5.2,,2.4,7.6,12.0,1.3
