AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2017,12/31/2016
Capital_Expenditures,0.3,0.0,0.0,0.1,0.1,0.0
Cash_from_Operations,-13.8,-4.6,-3.1,-6.2,-4.3,-6.2
Diluted_EPS,-0.4,-0.077,-0.123,-0.221,-0.546,-2.596
Goodwill_Intangibles,0.7,0.5,0.4,0.3,1.8,4.8
LT_Debt,4.9,6.8,6.5,5.5,3.5,0.1
Net_Income,-31.8,-5.9,-9.4,-16.9,-26.7,-98.4
Revenue,,0.0,0.3,3.8,7.7,7.0
Shares_Diluted,79.4922,76.5099,76.5099,76.5099,48.943,37.917
Total_Assets,43.2,12.0,3.7,4.1,10.4,12.5
Total_Liabilities,35.0,12.0,12.5,10.8,35.0,40.1
