AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,4.4,5.2,1.4,0.4,1.8,1.7
Cash_from_Operations,-19.2,1.0,4.9,5.0,4.2,3.5
Diluted_EPS,-14.973,-12.504,-7.26,0.13,0.177,3.047
Goodwill_Intangibles,8.5,0.5,0.2,0.3,0.2,0.2
LT_Debt,17.9,6.9,23.2,4.9,2.5,2.4
Net_Income,-18.6,-5.5,-3.1,0.1,0.1,1.3
Revenue,34.5,35.2,37.6,38.6,37.3,34.5
Shares_Diluted,1.2399,0.4384,0.4306,0.4167,0.4167,0.4167
Total_Assets,61.2,41.8,36.0,39.3,30.5,27.3
Total_Liabilities,42.0,35.3,38.2,38.0,29.4,25.3
