AAII_YR_DATA,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014
Capital_Expenditures,237.3,229.9,326.7,246.6,193.5,114.2,105.7,5.1
Cash_from_Operations,62.5,46.2,26.8,23.3,-0.3,9.2,-2.2,-0.3
Diluted_EPS,-1.1,-0.661,0.029,-0.4,-1.398,-1.62,-0.984,-0.654
Goodwill_Intangibles,0.4,0.7,4.9,1.9,1.6,1.3,1.2,0.1
LT_Debt,1128.5,1086.7,773.8,655.5,390.8,230.3,194.3,97.9
Net_Income,-52.8,-28.5,1.0,-10.4,-18.2,-38.0,-23.1,-15.3
Revenue,191.2,162.6,124.6,96.6,52.5,33.0,14.1,12.1
Shares_Diluted,47.9796,43.048,33.9681,25.9741,13.0406,23.4545,23.4545,23.4545
Total_Assets,1863.2,1661.6,1366.2,928.5,721.5,387.7,250.0,127.6
Total_Liabilities,1558.9,1322.6,1050.9,776.4,555.6,358.9,247.0,130.8
