AAII_YR_DATA,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017
Capital_Expenditures,170.9,175.1,95.6,63.0,42.8,
Cash_from_Operations,105.8,207.7,98.4,94.9,67.3,
Diluted_EPS,0.487,0.595,-0.79,-0.142,0.048,-0.475
Goodwill_Intangibles,1239.8,1194.0,1243.8,1286.7,1346.9,
LT_Debt,660.6,515.3,473.9,1114.5,1116.4,0.0
Net_Income,75.2,93.2,-122.2,-20.2,6.7,-67.4
Revenue,1355.6,1179.0,899.3,794.2,681.8,632.6
Shares_Diluted,154.5178,156.6664,154.6373,141.9572,141.9572,141.9572
Total_Assets,2383.1,2187.8,1931.9,1788.3,1779.2,
Total_Liabilities,938.6,760.7,628.0,1298.2,1273.6,
