AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,581.1,564.5,635.7,663.5,580.9
Cash_from_Operations,1872.7,1775.6,1580.4,1770.0,1742.2
Diluted_EPS,-0.22,1.377,1.188,1.256,1.003
Goodwill_Intangibles,7118.6,9902.9,9553.7,10127.3,9670.5
LT_Debt,3306.7,3290.8,4236.1,3019.5,2422.4
Net_Income,-153.7,990.1,872.1,950.0,767.8
Revenue,10161.7,8691.2,8466.2,9530.7,9039.2
Shares_Diluted,699.175,719.24,733.75,756.14,765.555
Total_Assets,16680.6,18277.5,17183.2,17797.4,17021.8
Total_Liabilities,12066.9,11922.8,11498.4,11513.8,10470.2
