AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,5.5,3.2,,,,
Cash_from_Operations,16.0,33.4,-0.8,-2.0,-0.9,-0.1
Diluted_EPS,1.703,1.141,-2.048,0.043,0.038,-0.007
Goodwill_Intangibles,68.7,25.4,,,,
LT_Debt,505.4,461.1,0.0,0.0,0.0,0.0
Net_Income,71.8,51.6,-36.6,0.8,0.6,-0.1
Revenue,1446.4,1023.3,,,,
Shares_Diluted,42.1995,45.2507,17.8876,19.4063,15.525,16.875
Total_Assets,1440.5,1265.5,109.8,162.5,160.0,0.2
Total_Liabilities,784.5,645.4,55.4,17.4,5.7,0.3
