AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,41.0,27.0,16.0,45.0,24.0
Cash_from_Operations,-78.0,216.0,-557.0,171.0,189.0
Diluted_EPS,-0.17,-0.482,-1.046,1.167,0.372
Goodwill_Intangibles,28.0,29.0,29.0,30.0,
LT_Debt,272.0,287.0,247.0,95.0,0.0
Net_Income,-37.0,-102.0,-225.0,251.0,80.0
Revenue,3326.0,2060.0,1250.0,2508.0,2156.0
Shares_Diluted,217.6014,211.4365,215.0782,215.0782,215.0782
Total_Assets,4499.0,4235.0,3554.0,3864.0,
Total_Liabilities,3990.0,3705.0,3244.0,3322.0,
