AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016
Capital_Expenditures,8.3,0.0,0.7,0.0,0.1,0.0,0.2
Cash_from_Operations,-14.3,-10.5,-5.9,-5.3,-3.6,-2.5,-0.7
Diluted_EPS,0.054,-1.374,-0.218,0.215,0.158,0.103,0.092
Goodwill_Intangibles,,0.0,5.6,0.5,0.5,0.5,0.5
LT_Debt,0.0,0.0,2.8,4.0,1.0,0.0,1.0
Net_Income,3.2,-45.6,-4.9,4.4,3.8,2.5,2.2
Revenue,0.2,80.5,24.2,0.0,101.1,63.3,34.6
Shares_Diluted,60.4938,33.1944,22.4175,20.3197,23.7917,23.7917,23.7917
Total_Assets,35.0,40.9,63.3,51.4,33.7,27.0,15.4
Total_Liabilities,0.3,44.1,39.5,26.8,17.9,16.9,7.9
