AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,0.6,1.1,3.2,4.7,9.0,7.6
Cash_from_Operations,-6.2,-193.6,128.4,175.9,330.7,133.8
Diluted_EPS,-11.72,-7.321,13.031,28.609,18.135,6.503
Goodwill_Intangibles,,0.0,0.8,0.8,,
LT_Debt,0.0,0.0,7.4,65.2,60.2,0.0
Net_Income,-165.2,-103.2,36.7,80.6,50.8,18.2
Revenue,103.0,226.1,495.7,592.2,521.3,256.3
Shares_Diluted,14.0923,14.0923,2.818,2.8179,2.7996,2.7996
Total_Assets,173.7,385.6,727.9,914.6,907.5,304.9
Total_Liabilities,110.8,158.9,399.0,594.8,737.2,198.7
