AAII_YR_DATA,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.5,0.5,0.2,2.1,2.9,0.4,0.8
Cash_from_Operations,-0.5,1.2,0.2,0.9,1.5,0.9,1.5
Diluted_EPS,-0.411,0.07,-0.113,-0.032,0.067,0.321,0.339
Goodwill_Intangibles,0.3,0.4,0.4,0.3,0.7,0.4,0.6
LT_Debt,2.7,2.8,2.9,3.1,0.0,0.0,0.0
Net_Income,-0.8,0.1,-0.2,-0.1,0.1,0.6,0.7
Revenue,17.6,18.2,17.2,17.6,17.6,18.5,17.5
Shares_Diluted,1.9803,1.9836,2.0076,2.0186,2.0186,2.0183,2.0107
Total_Assets,16.9,17.4,16.9,18.3,15.0,14.6,14.0
Total_Liabilities,4.6,4.3,4.0,4.8,1.5,1.3,1.4
