AAII_YR_DATA,01/28/2023,01/29/2022,01/30/2021,02/01/2020,02/02/2019,02/03/2018,01/28/2017,01/30/2016
Capital_Expenditures,96.9,59.1,36.0,78.6,48.4,44.0,,
Cash_from_Operations,-75.2,-23.6,327.1,-33.9,99.0,97.7,,
Diluted_EPS,-4.929,1.348,5.93,-13.539,0.874,2.39,,
Goodwill_Intangibles,434.1,532.3,539.2,546.2,1047.2,643.8,640.0,640.0
LT_Debt,984.2,786.4,793.5,1212.8,1106.3,1123.0,1178.6,1289.4
Net_Income,-200.6,56.7,212.3,-546.6,35.3,96.5,,
Revenue,2216.9,2417.6,2762.3,2241.2,2324.8,2314.3,,
Shares_Diluted,40.7,42.076,35.7985,40.3711,40.3711,40.3711,40.3711,40.3711
Total_Assets,2180.8,2362.2,2337.3,2301.3,2070.8,2035.6,2029.0,2123.5
Total_Liabilities,2229.9,2212.4,2294.9,2473.3,1697.6,,,
