AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,103.7,52.3,24.5,37.6,13.7
Cash_from_Operations,-7255.9,-1350.2,-479.3,-54.7,1023.3
Diluted_EPS,-0.401,-0.996,-0.399,-0.332,-0.317
Goodwill_Intangibles,2065.1,1183.1,1254.4,27.5,
LT_Debt,5516.6,4055.8,4931.9,4960.2,0.0
Net_Income,-360.8,-524.4,-317.2,-263.6,-252.4
Revenue,773.4,355.0,363.5,608.2,589.6
Shares_Diluted,900.8861,526.7303,795.2243,795.2243,795.2243
Total_Assets,19007.7,9176.3,8563.5,7289.2,
Total_Liabilities,13479.2,4478.6,5509.9,5188.5,
