AAII_YR_DATA,10/31/2022,10/31/2021,01/31/2021,01/31/2020,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013
Capital_Expenditures,0.1,,,,,,,0.0,0.0,0.0,0.0
Cash_from_Operations,2.8,1.3,1.9,1.0,1.5,0.3,0.0,0.0,-2.0,-0.6,-0.3
Diluted_EPS,-0.009,0.02,0.013,0.035,0.064,-0.17,0.15,,,,
Goodwill_Intangibles,13.1,0.1,,,,,,,0.0,0.0,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-0.3,0.6,0.4,1.0,1.8,-1.3,1.8,-10.0,,-1.4,-0.5
Revenue,36.0,9.3,5.2,1.8,2.9,0.9,0.1,0.0,,0.0,0.0
Shares_Diluted,28.042,32.2782,31.5886,27.8617,27.6065,7.7336,12.0195,0.0015,,,
Total_Assets,32.6,20.5,13.8,3.7,3.0,0.8,0.1,0.0,0.1,0.2,0.1
Total_Liabilities,5.8,1.5,0.6,1.2,2.0,2.2,1.6,4.0,3.0,1.1,0.3
