AAII_YR_DATA,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013
Capital_Expenditures,5.1,1.6,1.3,0.9,2.5,1.7,0.9,0.9,2.9
Cash_from_Operations,0.5,-264.7,76.8,96.9,-44.3,-80.5,-3.4,-3.4,124.4
Diluted_EPS,9.956,14.013,5.846,3.945,3.975,3.021,2.901,2.125,3.511
Goodwill_Intangibles,24.5,19.0,15.1,16.7,17.9,17.6,9.6,,
LT_Debt,47.3,59.0,25.8,25.8,25.8,25.8,25.8,25.8,25.8
Net_Income,73.7,103.5,43.2,29.1,29.4,22.4,21.6,16.7,27.6
Revenue,113.4,128.1,120.7,99.3,91.3,74.0,58.2,50.1,50.6
Shares_Diluted,7.4029,7.3863,7.384,7.3846,7.3947,7.413,7.4314,7.8492,7.8676
Total_Assets,2359.4,2552.2,2605.2,2060.4,2062.3,1949.7,1530.6,1168.1,1144.2
Total_Liabilities,1966.0,2201.8,2343.0,1828.7,1829.3,1735.3,1333.0,968.2,948.6
