AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.0,1.4,0.6,0.0,0.1,0.0
Cash_from_Operations,-53.3,-29.3,-32.2,-44.4,-7.8,-10.3
Diluted_EPS,-0.38,0.01,-0.229,-0.397,-0.302,-0.392
Goodwill_Intangibles,,,,,0.0,5.0
LT_Debt,0.0,0.0,0.0,0.0,15.9,24.1
Net_Income,-59.8,1.5,-27.8,-38.0,-25.2,-27.8
Revenue,12.5,3.2,1.7,5.9,31.7,31.0
Shares_Diluted,157.3433,146.9045,121.1681,95.6654,83.4754,70.8591
Total_Assets,273.9,315.4,183.2,175.7,196.8,185.3
Total_Liabilities,33.5,23.9,29.4,48.8,55.7,59.5
