AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.3,,,0.0,0.0,0.0,0.0,0.4
Cash_from_Operations,-3.6,-5.9,-0.4,-0.6,-3.9,-5.6,-1.0,-8.6
Diluted_EPS,-15.152,-44.545,-22.853,-83.151,-58.546,-140.406,-448.252,-48.233
Goodwill_Intangibles,15.7,15.4,20.7,21.5,22.2,35.9,23.8,0.0
LT_Debt,0.0,0.0,8.2,9.7,13.7,12.4,14.2,0.0
Net_Income,-7.3,-14.0,-3.7,-11.9,-7.2,-9.0,-13.8,-13.1
Revenue,11.9,10.0,11.4,17.1,17.1,16.0,7.7,0.6
Shares_Diluted,0.4787,0.3154,0.1629,0.1436,0.1228,0.0641,0.0309,0.2711
Total_Assets,25.6,30.1,26.9,25.0,38.1,48.2,35.4,5.1
Total_Liabilities,2.9,1.7,16.0,16.5,21.5,27.3,32.6,4.2
