AAII_YR_DATA,12/31/2022,12/31/2021
Capital_Expenditures,119.3,
Cash_from_Operations,463.5,
Diluted_EPS,0.447,0.407
Goodwill_Intangibles,152.0,159.7
LT_Debt,1778.2,1468.1
Net_Income,275.1,250.4
Revenue,2844.8,2612.9
Shares_Diluted,615.0266,615.3432
Total_Assets,2983.3,2718.2
Total_Liabilities,2703.2,2399.3
