AAII_YR_DATA,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014
Capital_Expenditures,0.2,0.4,0.6,0.2,1.0,0.2,0.2
Cash_from_Operations,-9.4,-13.9,8.6,-10.8,-8.4,15.3,-19.8
Diluted_EPS,-0.373,-0.556,0.212,-0.609,-0.549,0.622,-1.772
Goodwill_Intangibles,0.7,0.5,0.3,0.4,0.1,0.3,0.9
LT_Debt,4.5,4.2,5.1,5.8,6.5,7.1,7.7
Net_Income,-9.8,-14.1,4.5,-12.9,-11.6,13.0,-36.5
Revenue,8.8,8.8,35.5,12.4,13.1,41.3,7.3
Shares_Diluted,26.3162,25.4262,21.3186,21.2344,21.1288,20.9255,20.6017
Total_Assets,25.0,37.1,35.3,32.0,46.3,58.2,47.0
Total_Liabilities,23.9,26.7,27.5,29.5,31.5,32.6,34.3
