AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,06/30/2020,12/31/2019,06/30/2019,06/30/2018
Capital_Expenditures,0.1,3.7,1.0,0.5,1.3,,
Cash_from_Operations,-29.1,-27.6,-24.4,-11.4,-17.6,-0.2,0.0
Diluted_EPS,-0.949,-1.393,-1.305,0.53,-3.662,0.174,-0.001
Goodwill_Intangibles,0.0,1.5,3.0,,4.6,,
LT_Debt,10.6,14.4,0.0,0.0,0.0,0.0,0.0
Net_Income,-28.3,-36.2,-30.1,,-20.6,0.3,0.0
Revenue,,0.0,0.0,,0.0,0.0,0.0
Shares_Diluted,29.854,26.0079,23.0622,,5.6159,1.9961,1.75
Total_Assets,45.5,78.0,70.4,78.3,92.1,71.6,0.1
Total_Liabilities,24.5,30.5,12.9,4.8,7.7,0.9,0.0
