AAII_YR_DATA,07/31/2019,07/31/2018,07/31/2017,07/31/2016,07/31/2015,07/31/2014,07/31/2013
Capital_Expenditures,,,0.1,0.1,0.1,0.1,0.0
Cash_from_Operations,-0.1,0.5,-0.8,-0.8,0.5,0.8,0.4
Diluted_EPS,0.08,0.087,-0.059,-0.107,0.03,0.036,-0.007
Goodwill_Intangibles,,,6.9,7.6,6.3,7.5,7.9
LT_Debt,0.0,0.0,0.7,2.1,1.2,0.7,8.8
Net_Income,0.5,2.6,-1.8,-3.2,0.9,1.0,-0.2
Revenue,,0.0,0.3,14.3,17.7,22.2,20.3
Shares_Diluted,5.676,29.3692,31.2518,29.935,30.5,27.8699,27.2759
Total_Assets,0.0,0.1,12.0,13.2,12.7,16.2,14.2
Total_Liabilities,0.0,0.6,13.6,14.6,10.8,14.9,15.8
