AAII_YR_DATA,12/31/2022,01/01/2022,01/02/2021,12/28/2019,12/29/2018,12/30/2017,12/31/2016,01/02/2016,01/03/2015,01/04/2014
Capital_Expenditures,35.9,14.4,3.7,4.8,2.7,0.8,0.6,1.6,3.0,4.9
Cash_from_Operations,400.3,145.0,55.0,-10.3,41.6,-2.5,41.4,39.9,-12.3,-39.9
Diluted_EPS,31.515,29.985,8.547,-1.887,-5.206,6.813,1.774,-1.323,-1.6130000000000002,-5.067
Goodwill_Intangibles,90.4,61.4,66.7,74.2,83.0,,,,,
LT_Debt,558.4,558.1,588.7,650.0,641.4,276.7,270.8,377.8,400.3,387.2
Net_Income,296.2,296.1,80.9,-17.7,-48.1,63.0,16.1,-11.6,-13.9,-40.6
Revenue,4450.2,4277.2,3097.3,2637.3,2862.9,1815.5,1881.0,1916.6,1979.4,2152.0
Shares_Diluted,9.398,9.876,9.463,9.355,9.23,9.246,9.069,8.75,8.6001,8.0163
Total_Assets,1490.0,1317.5,1048.1,971.4,959.9,494.1,444.1,513.1,536.0,528.5
Total_Liabilities,900.0,954.2,989.0,997.5,974.6,459.1,474.0,559.0,572.0,534.4
