AAII_YR_DATA,12/31/2020,12/31/2019
Capital_Expenditures,0.2,1.2
Cash_from_Operations,0.8,-2.0
Diluted_EPS,-0.012,-0.018
Goodwill_Intangibles,20.1,8.3
LT_Debt,7.9,12.9
Net_Income,-1.3,-2.0
Revenue,13.4,4.5
Shares_Diluted,111.3388,111.3388
Total_Assets,31.1,14.8
Total_Liabilities,11.6,16.5
