AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019
Capital_Expenditures,1.1,1.5,3.9
Cash_from_Operations,-53.5,-24.1,-45.9
Diluted_EPS,-1.005,-0.5,-0.95
Goodwill_Intangibles,7.4,0.0,
LT_Debt,120.3,3.8,0.0
Net_Income,-69.2,-34.4,-65.4
Revenue,177.3,187.2,174.0
Shares_Diluted,68.8558,68.8558,68.8558
Total_Assets,231.6,59.7,
Total_Liabilities,233.2,42.9,
