AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,3.4,2.6,3.9,5.7,3.1,1.0,1.1
Cash_from_Operations,29.6,13.3,4.4,10.2,22.0,6.6,69.6
Diluted_EPS,0.498,0.04,0.231,0.499,-0.205,-0.088,-1.125
Goodwill_Intangibles,228.0,196.7,204.4,197.6,206.4,236.6,252.9
LT_Debt,113.2,67.8,76.3,70.3,74.5,103.5,114.4
Net_Income,17.4,1.4,8.2,17.7,-7.1,-3.0,-38.2
Revenue,422.6,324.1,316.0,341.9,337.3,345.1,417.0
Shares_Diluted,35.0052,35.5948,35.521,35.4843,34.7144,34.4453,33.9795
Total_Assets,504.7,416.2,419.3,408.6,392.6,438.5,498.6
Total_Liabilities,291.5,211.6,216.7,215.6,214.0,252.0,308.6
