AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.0,0.0,0.0,0.1,0.1,0.0
Cash_from_Operations,-26.6,-23.7,-15.3,-16.0,-7.5,-0.5
Diluted_EPS,-0.535,-0.43,-0.322,-2.074,-0.49,-0.076
Goodwill_Intangibles,288.6,324.2,187.3,143.3,1.5,1.0
LT_Debt,1.6,10.0,29.5,27.3,7.4,0.0
Net_Income,-76.8,-52.0,-26.9,-78.5,-18.4,-2.4
Revenue,202.8,167.4,72.8,11.8,11.0,3.4
Shares_Diluted,143.5353,121.0027,83.4014,37.8725,37.4598,31.4055
Total_Assets,341.4,387.8,222.3,169.3,16.5,4.5
Total_Liabilities,86.8,125.0,80.5,50.7,11.1,2.7
