AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,0.0,4.6,1.8,6.6,1.2
Cash_from_Operations,-210.6,-403.4,-287.2,-127.2,-26.1
Diluted_EPS,-21.113,-37.637,-25.958,-20.384,-4.988
Goodwill_Intangibles,16.3,12.5,9.6,6.6,2.5
LT_Debt,295.4,0.0,88.7,92.7,15.1
Net_Income,-297.7,-521.1,-363.0,-282.4,-69.1
Revenue,310.8,345.4,346.8,290.2,43.3
Shares_Diluted,14.1,13.8456,13.9842,13.8539,13.8539
Total_Assets,1312.9,1319.3,1762.3,728.6,216.0
Total_Liabilities,923.8,670.9,729.9,542.2,129.1
