AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,131.5,16.5,0.7,26.5,88.8,101.1
Cash_from_Operations,16.6,9.7,5.6,4.7,5.9,3.8
Diluted_EPS,-0.929,-0.202,-6.499,-0.584,-0.238,-0.115
Goodwill_Intangibles,1.9,18.0,23.3,59.5,0.6,0.7
LT_Debt,195.5,173.9,185.5,194.0,122.7,60.5
Net_Income,-7.0,-1.5,-49.1,-4.4,-1.8,-0.9
Revenue,46.2,37.9,38.6,24.5,18.0,7.4
Shares_Diluted,7.5124,7.4266,7.5612,7.5612,7.5612,7.5612
Total_Assets,454.4,428.5,407.5,490.9,252.4,157.1
Total_Liabilities,294.7,256.7,267.8,287.3,143.3,77.8
