AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,26.5,56.6,38.3,53.0,48.3
Cash_from_Operations,24.6,64.3,86.0,119.2,162.0
Diluted_EPS,-2.449,-3.651,-6.862,-1.073,-17.64
Goodwill_Intangibles,915.0,1034.0,1164.7,1316.3,
LT_Debt,532.2,0.0,4.9,16.8,0.0
Net_Income,-63.9,-95.3,-179.1,-28.0,-460.4
Revenue,913.9,1014.6,912.4,1055.5,1099.1
Shares_Diluted,26.083,26.1,26.1,26.1,26.1
Total_Assets,1642.1,1826.7,1949.2,2110.4,
Total_Liabilities,883.5,375.3,458.7,443.2,
