AAII_YR_DATA,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015
Capital_Expenditures,0.4,2.2,5.2,4.8,8.3,6.9,5.8
Cash_from_Operations,46.3,41.1,-44.5,62.0,150.5,187.1,94.3
Diluted_EPS,-11.812,-69.968,-60.942,86.331,2.424,0.599,-3.074
Goodwill_Intangibles,234.5,371.0,945.4,401.9,358.0,691.7,697.0
LT_Debt,1.6,528.5,246.3,422.1,498.1,660.5,676.5
Net_Income,-403.1,-320.2,-297.8,500.9,446.4,64.6,-446.8
Revenue,2740.0,2772.8,3038.4,3623.6,3757.1,4105.9,3895.9
Shares_Diluted,34.1252,4.5768,4.5194,6.0618,189.4389,190.1131,145.3412
Total_Assets,1091.8,1215.8,1699.4,1601.4,1238.0,1299.8,1298.4
Total_Liabilities,1686.2,1710.7,1871.1,1384.4,1387.3,1950.9,1937.3
