AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,11.5,11.0,4.7,8.2,
Cash_from_Operations,164.2,123.2,150.0,102.3,
Diluted_EPS,-1.822,-1.797,-1.857,-1.902,0.317
Goodwill_Intangibles,253.2,495.7,102.0,109.4,
LT_Debt,473.2,513.0,525.8,339.4,0.0
Net_Income,-252.2,-250.1,-252.7,-258.8,43.1
Revenue,867.0,784.0,621.1,484.8,389.9
Shares_Diluted,138.4095,139.1714,136.0773,136.0773,136.0773
Total_Assets,730.5,899.5,306.8,336.7,
Total_Liabilities,1033.5,913.0,839.6,587.3,
