AAII_YR_DATA,01/02/2023,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,2.5,10.7,3.5,2.4,,
Cash_from_Operations,2.2,-7.5,1.8,2.5,-0.6,0.0
Diluted_EPS,-4.665,-6.6,0.34,0.167,-0.167,0.0
Goodwill_Intangibles,191.8,266.7,236.4,0.6,,
LT_Debt,53.8,56.8,1.5,0.0,0.0,0.0
Net_Income,-103.4,-121.5,6.0,1.3,-0.6,0.0
Revenue,178.7,68.9,34.0,33.6,,
Shares_Diluted,22.1737,18.4082,17.5418,17.5418,3.4994,2.5
Total_Assets,276.8,317.7,289.1,14.4,118.0,0.2
Total_Liabilities,146.4,96.9,30.0,11.9,0.3,0.1
