AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,3059.0,1661.6,449.3,587.9,1150.3
Cash_from_Operations,2624.0,2839.0,1005.9,496.8,279.3
Diluted_EPS,2.623,-0.495,-2.52,-2.564,-5.053
Goodwill_Intangibles,363.0,376.7,547.9,634.8,
LT_Debt,2558.0,2006.4,2289.4,2430.5,0.0
Net_Income,1448.0,-250.3,-1347.6,-1371.2,-2701.6
Revenue,8108.0,6585.1,4850.5,5812.8,6196.0
Shares_Diluted,552.0,505.7584,534.6854,534.6854,534.6854
Total_Assets,17841.0,15027.6,12321.6,14497.5,
Total_Liabilities,7928.0,7052.1,5145.3,5478.4,
