AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,0.1,0.1,0.0,0.0,0.0,0.0
Cash_from_Operations,-24.1,-20.1,-15.2,-8.5,-13.2,-10.7
Diluted_EPS,-0.721,-1.51,-0.657,-0.406,-0.455,-0.421
Goodwill_Intangibles,3.4,,,,,
LT_Debt,6.6,0.0,4.6,3.3,0.0,0.4
Net_Income,-25.6,-44.5,-19.3,-12.0,-13.4,-12.4
Revenue,5.6,3.4,3.3,3.0,2.9,1.6
Shares_Diluted,35.5511,29.446,29.446,29.446,29.446,29.446
Total_Assets,22.1,17.6,12.9,7.7,7.0,15.9
Total_Liabilities,29.9,43.3,14.0,11.5,3.1,3.9
