AAII_YR_DATA,07/03/2022,06/27/2021,12/31/2020,06/28/2020,06/30/2019
Capital_Expenditures,162.4,43.1,0.0,119.7,114.2
Cash_from_Operations,177.7,58.2,0.0,18.8,111.4
Diluted_EPS,-0.242,-0.813,0.0,-0.601,-0.088
Goodwill_Intangibles,846.7,822.2,0.0,826.7,902.3
LT_Debt,1262.7,1245.1,0.0,1192.3,1039.1
Net_Income,-40.2,-134.5,0.0,-99.4,-14.6
Revenue,911.7,395.2,,520.4,672.2
Shares_Diluted,166.0335,165.3775,25.0,165.3775,165.3775
Total_Assets,1854.4,1782.2,0.0,1776.4,1799.1
Total_Liabilities,1662.1,1452.1,0.0,1332.6,1176.0
