AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,175.0,193.0,253.0,180.0,101.0
Cash_from_Operations,345.0,873.0,522.0,799.0,763.0
Diluted_EPS,0.017,0.52,-0.051,0.851,2.029
Goodwill_Intangibles,6565.0,6850.0,7247.0,7409.0,
LT_Debt,2411.0,0.0,0.0,0.0,0.0
Net_Income,6.0,182.0,-18.0,298.0,710.0
Revenue,3768.0,3765.0,3412.0,3778.0,3665.0
Shares_Diluted,350.0,350.0,350.0,350.0,350.0
Total_Assets,11144.0,10823.0,11266.0,11468.0,
Total_Liabilities,4111.0,1494.0,1348.0,1509.0,
