AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,41.7,36.6,22.2,3.0,0.0
Cash_from_Operations,-310.7,-690.6,-143.8,-83.8,-0.1
Diluted_EPS,-22.939,-20.195,-3.212,-0.562,-0.006
Goodwill_Intangibles,20.3,324.5,33.1,4.0,0.0
LT_Debt,546.9,173.4,54.1,5.4,0.0
Net_Income,-873.5,-674.5,-127.4,-22.3,-0.2
Revenue,1549.5,813.4,201.3,1.5,0.0
Shares_Diluted,38.0808,33.3987,39.6704,39.6704,39.6704
Total_Assets,1073.3,1464.1,630.0,132.4,39.0
Total_Liabilities,983.3,582.2,219.9,53.6,0.1
