AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,39.6,41.0,30.6,58.0,47.4,55.7,55.1,86.1
Cash_from_Operations,42.6,53.7,57.9,57.1,59.2,59.1,50.9,49.5
Diluted_EPS,-0.92,-0.782,-0.829,-0.247,-0.499,0.571,1.213,-0.027999999999999997
Goodwill_Intangibles,5.5,6.6,7.5,8.3,8.3,8.0,8.4,5.6
LT_Debt,624.3,630.6,624.8,580.1,607.7,673.8,665.4,742.6
Net_Income,-12.1,-10.2,-11.1,-3.2,-6.2,7.0,13.8,-1.9
Revenue,135.5,144.1,152.0,146.0,151.1,149.2,148.2,139.6
Shares_Diluted,13.104,13.082,13.397,12.7527,12.3745,12.3267,11.4108,68.381
Total_Assets,1177.3,1205.6,1222.9,1252.4,1233.5,1318.4,1286.8,1331.9
Total_Liabilities,693.8,695.1,667.5,624.1,652.8,722.3,717.2,804.2
