AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,52.9,85.8,29.8,49.7,53.0
Cash_from_Operations,157.6,302.7,76.4,187.5,207.6
Diluted_EPS,0.23,-0.604,-0.225,0.097,0.168
Goodwill_Intangibles,490.9,457.9,417.6,452.2,
LT_Debt,556.6,864.7,945.3,995.2,0.0
Net_Income,55.4,-146.4,-54.5,23.4,40.6
Revenue,1607.5,1391.7,1092.7,1422.8,1273.4
Shares_Diluted,240.6475,242.3437,242.3437,242.3437,242.3437
Total_Assets,2613.1,2646.5,2600.5,2842.1,
Total_Liabilities,1882.0,1999.1,1952.6,2100.4,
