AAII_YR_DATA,12/31/2022
Capital_Expenditures,743.4
Cash_from_Operations,3523.2
Diluted_EPS,2.505
Goodwill_Intangibles,15691.2
LT_Debt,8145.9
Net_Income,1974.4
Revenue,26381.2
Shares_Diluted,788.25
Total_Assets,39044.3
Total_Liabilities,25126.5
