AAII_YR_DATA,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013
Capital_Expenditures,2.5,4.9,4.0,3.8,2.7,0.6,11.0,9.2
Cash_from_Operations,-14.1,-28.2,12.4,-6.1,12.0,-2.8,7.1,6.0
Diluted_EPS,-0.655,-0.509,-0.231,-0.204,-1.074,-0.078,0.776,0.006
Goodwill_Intangibles,87.0,90.1,93.5,12.1,12.5,9.0,8.1,
LT_Debt,12.4,0.3,1.1,1.1,1.6,3.4,0.2,0.1
Net_Income,-41.3,-30.6,-12.0,-8.1,-39.0,-2.8,26.9,0.2
Revenue,163.2,144.5,132.5,101.4,77.6,58.1,42.3,35.9
Shares_Diluted,62.9802,60.0612,51.8405,39.8603,36.309,35.7192,34.6135,33.6133
Total_Assets,181.0,183.4,232.0,97.7,59.9,80.3,70.8,36.6
Total_Liabilities,79.7,65.8,86.2,31.9,37.4,28.0,17.0,13.2
