AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
Capital_Expenditures,0.3,0.3,0.6,0.1,0.0,0.1,0.5,0.0
Cash_from_Operations,-22.0,-12.8,-21.7,-6.4,-13.5,-17.4,-9.8,-6.4
Diluted_EPS,-1.63,-4.21,-6.299,-21.556,-50.048,-177.23,-127.842,-24.212
Goodwill_Intangibles,7.3,7.3,8.1,8.1,,,,
LT_Debt,0.2,0.1,0.0,0.0,0.0,3.6,2.3,0.0
Net_Income,-26.0,-20.0,-15.7,-11.8,-12.6,-20.3,-11.8,-9.1
Revenue,2.9,3.0,5.8,1.5,0.3,,0.0,0.0
Shares_Diluted,15.9826,4.7545,2.498,0.5493,0.2512,0.1145,0.0922,0.3747
Total_Assets,124.2,26.0,37.8,20.2,8.9,13.2,15.9,23.0
Total_Liabilities,8.0,12.4,7.5,12.8,0.1,9.1,4.2,1.0
