AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.2,0.1,0.6,0.1,0.1,0.1
Cash_from_Operations,7.3,7.3,6.4,3.8,2.8,2.8
Diluted_EPS,3.025,3.2,2.578,1.574,1.52,1.49
Goodwill_Intangibles,57.4,34.1,47.3,47.8,38.2,35.1
LT_Debt,57.1,52.0,16.1,4.0,4.0,4.0
Net_Income,6.8,7.1,5.7,2.6,2.5,2.3
Revenue,23.7,21.8,18.0,12.7,11.2,10.4
Shares_Diluted,2.2507,2.2267,2.2083,1.6705,1.6412,1.5366
Total_Assets,586.6,478.3,451.5,322.2,275.6,254.8
Total_Liabilities,528.5,424.4,404.1,280.8,247.2,225.3
