AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,6240.9,6172.5,4560.3,2984.6,3740.1,2924.1,3503.7
Cash_from_Operations,873.5,6079.3,5404.2,4159.5,4227.5,4562.5,6133.7
Diluted_EPS,-4.713,0.224,0.03,0.149,0.576,3.246,5.468
Goodwill_Intangibles,2939.8,3033.1,3250.0,4813.8,4779.4,3836.8,3730.9
LT_Debt,24960.9,19729.9,21448.0,22681.2,17976.2,11249.2,11321.5
Net_Income,-1849.5,87.9,11.6,56.8,218.8,1233.7,1980.2
Revenue,29380.6,24274.4,24929.4,24290.2,21875.3,16308.6,18496.5
Shares_Diluted,392.4523,392.4523,392.4523,382.0834,380.0096,380.0096,362.1346
Total_Assets,72554.8,65141.7,62006.3,60797.8,57422.2,45585.6,44720.8
Total_Liabilities,56138.4,46341.3,46252.6,47124.5,44732.6,33133.3,32537.8
