AAII_YR_DATA,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
Capital_Expenditures,0.1,1.3,2.5,0.0,4.6,5.4
Cash_from_Operations,1.8,3.8,1.8,-1.7,5.3,-3.7
Diluted_EPS,0.026,0.042,0.077,-0.18,-0.051,-0.498
Goodwill_Intangibles,0.7,3.1,3.2,2.5,2.4,2.6
LT_Debt,1.4,1.9,3.5,7.5,6.1,7.1
Net_Income,1.0,2.2,4.3,-2.0,-0.6,-3.0
Revenue,11.0,12.9,13.2,0.7,3.1,1.1
Shares_Diluted,37.9082,52.0733,56.1709,11.2,11.0581,6.021
Total_Assets,35.2,26.7,24.8,20.0,20.9,16.7
Total_Liabilities,22.7,16.7,16.8,19.1,18.1,13.7
