AAII_YR_DATA,09/30/2022,09/30/2021,12/31/2020,09/30/2020,09/30/2019
Capital_Expenditures,49.0,26.1,0.0,28.5,26.7
Cash_from_Operations,-205.1,-32.6,-0.4,-4.5,-23.8
Diluted_EPS,-1.925,-0.245,-0.256,-0.132,-0.105
Goodwill_Intangibles,729.3,351.9,0.0,337.8,337.4
LT_Debt,341.6,140.3,0.0,146.6,118.2
Net_Income,-609.1,-49.5,-11.0,-26.7,-35.3
Revenue,1144.4,876.2,,693.9,578.3
Shares_Diluted,316.5,202.5,43.125,202.5,336.9662
Total_Assets,1410.1,800.0,346.3,734.4,726.9
Total_Liabilities,745.4,397.9,40.1,386.9,356.2
