AAII_YR_DATA,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015
Capital_Expenditures,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.1
Cash_from_Operations,-5.1,-3.9,-4.6,0.1,-1.5,-1.2,-1.1,-0.2
Diluted_EPS,-0.272,-0.218,-0.089,-0.071,-0.084,-0.064,-0.077,-0.011
Goodwill_Intangibles,1.7,1.1,0.0,0.6,0.0,0.0,0.0,
LT_Debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net_Income,-6.5,-4.6,-1.9,-1.4,-1.6,-1.2,-1.1,-0.2
Revenue,17.1,0.2,1.4,0.0,0.0,0.1,0.0,0.0
Shares_Diluted,23.9564,21.279,20.9438,20.1194,19.1301,18.6436,14.5434,18.3332
Total_Assets,3.8,3.9,4.9,7.4,1.4,1.4,0.5,0.1
Total_Liabilities,1.3,3.6,1.0,1.7,0.2,0.9,0.5,0.1
