AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017
Capital_Expenditures,4.8,2.9,2.1,2.9,,
Cash_from_Operations,24.8,-35.1,-36.6,-3.2,-0.9,-0.2
Diluted_EPS,0.559,-0.76,-3.873,-0.577,-0.442,-0.025
Goodwill_Intangibles,565.5,582.3,599.1,806.7,,
LT_Debt,210.7,228.7,229.4,221.4,0.0,0.0
Net_Income,53.2,-68.5,-288.0,-35.3,-4.4,-0.2
Revenue,546.3,144.0,120.9,443.8,,
Shares_Diluted,95.105,90.134,74.359,61.118,9.9115,8.0841
Total_Assets,717.4,688.9,702.3,923.7,337.0,331.8
Total_Liabilities,351.6,395.0,381.5,285.4,17.1,12.3
