AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/26/2015
Capital_Expenditures,161.7,40.0,82.4,77.2,18.3,9.2,8.6,5.0
Cash_from_Operations,11.8,228.1,148.2,13.7,13.9,37.3,-32.5,-32.6
Diluted_EPS,-3.617,1.711,-0.141,-0.52,-0.085,-0.64,-0.451,-0.429
Goodwill_Intangibles,220.4,245.6,135.2,150.8,2.9,3.4,,
LT_Debt,0.0,80.0,89.9,94.7,0.0,0.0,10.0,25.9
Net_Income,-498.0,242.4,-17.5,-59.9,-8.9,-63.5,-42.8,-40.6
Revenue,3126.5,2764.6,1778.4,1128.9,742.5,512.8,398.6,319.9
Shares_Diluted,137.668,141.668,123.978,115.218,104.618,99.157,94.7485,94.7485
Total_Assets,4412.6,4082.1,2270.5,1470.2,465.0,371.9,179.1,176.5
Total_Liabilities,1766.0,1315.5,942.5,771.8,220.3,219.6,159.7,123.1
