AAII_YR_DATA,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Capital_Expenditures,417.0,416.0,455.0,443.0,403.0,366.0
Cash_from_Operations,839.0,730.0,1083.0,1065.0,1031.0,219.0
Diluted_EPS,-3.341,-8.18,2.834,2.905,2.977,0.647
Goodwill_Intangibles,3176.0,3476.0,4603.0,4958.0,,
LT_Debt,3556.0,4609.0,3526.0,3246.0,0.0,0.0
Net_Income,-368.0,-552.0,197.0,202.0,207.0,45.0
Revenue,1643.0,1430.0,1619.0,1561.0,1323.0,347.0
Shares_Diluted,110.1555,67.4796,69.5235,69.5235,69.5235,69.5235
Total_Assets,10086.0,9344.0,9853.0,9240.0,,
Total_Liabilities,12213.0,11066.0,8199.0,7778.0,,
