AAII_YR_DATA,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018
Capital_Expenditures,17.1,14.9,25.4,17.1,3.5
Cash_from_Operations,536.0,368.6,152.2,24.1,-0.2
Diluted_EPS,1.67,1.561,0.298,-0.033,-0.069
Goodwill_Intangibles,500.3,270.3,401.9,422.1,442.4
LT_Debt,522.0,524.6,584.8,387.7,337.4
Net_Income,220.2,182.0,76.9,-8.5,-17.7
Revenue,883.0,799.2,284.1,143.1,123.8
Shares_Diluted,255.323,257.803,257.6206,257.6206,257.6206
Total_Assets,2282.3,1918.3,1270.7,577.8,539.7
Total_Liabilities,1737.1,1602.8,1182.2,436.4,395.3
